trimmed_seq_name	complete_seq_name
A/Qatar/15-VI-22-1438736/2022	A/Qatar/15-VI-22-1438736/2022|EPI_ISL_13837799|2022-04-10
A/Victoria/43/2022	A/Victoria/43/2022|EPI_ISL_12579920|2022-03-29
A/Qatar/16-VI-22-1446249/2022	A/Qatar/16-VI-22-1446249/2022|EPI_ISL_13837766|2022-04-12
A/Togo/237/2021	A/Togo/0237/2021|EPI_ISL_2625814|2021-03-03
A/Togo/232/2021	A/Togo/0232/2021|EPI_ISL_2625813|2021-03-01
A/Togo/771/2020	A/Togo/771/2020|EPI_ISL_882872|2020-10-16
A/Togo/377/2021	A/Togo/0377/2021|EPI_ISL_2625811|2021-04-01
A/Togo/89/2021	A/Togo/0089/2021|EPI_ISL_2625812|2021-02-12
A/Togo/84/2021	A/Togo/0084/2021|EPI_ISL_2625815|2021-02-09
A/Oklahoma/1/2021	A/Oklahoma/01/2021|EPI_ISL_4373562|2021-07-06
A/Ghana/1344/2021	A/Ghana/1344/2021|EPI_ISL_4005751|2021-07-05
A/CoteDIvoire/1692/2021	A/Cote_D'Ivoire/1692/2021|EPI_ISL_3534322|2021-05-22
A/CoteDIvoire/1879/2021	A/Cote_D'Ivoire/1879/2021|EPI_ISL_3534324|2021-06-07
A/Congo/19/2021	A/Congo/19/2021|EPI_ISL_1296309|2021-01-12
A/Congo/44/2021	A/Congo/44/2021|EPI_ISL_1296317|2021-01-12
A/Sydney/8/2021	A/Sydney/8/2021|EPI_ISL_7458492|2021-11-19
A/Congo/23/2021	A/Congo/23/2021|EPI_ISL_1296311|2021-01-06
A/Congo/15/2021	A/Congo/15/2021|EPI_ISL_1296315|2021-01-05
A/Zambia/101/2021	A/Zambia/0101/2021|EPI_ISL_11497672|2021-07-05
A/Zambia/110/2021	A/Zambia/0110/2021|EPI_ISL_11497679|2021-06-18
A/Zambia/146/2021	A/Zambia/0146/2021|EPI_ISL_11497678|2021-06-28
A/Zambia/120/2021	A/Zambia/0120/2021|EPI_ISL_11497670|2021-04-06
A/Zambia/172/2021	A/Zambia/0172/2021|EPI_ISL_11496556|2021-07-15
A/Zambia/161/2021	A/Zambia/0161/2021|EPI_ISL_11496530|2021-07-15
A/Stockholm/7/2021	A/Stockholm/7/2021|EPI_ISL_3797777|2021-08-06
A/Zambia/166/2021	A/Zambia/0166/2021|EPI_ISL_11496587|2021-06-21
A/Zambia/125/2021	A/Zambia/0125/2021|EPI_ISL_11496568|2021-07-01
A/Zambia/114/2021	A/Zambia/0114/2021|EPI_ISL_11496548|2021-07-01
A/Uganda/1/2021	A/Uganda/01/2021|EPI_ISL_13493341|2021-01-01
A/Uganda/5/2021	A/Uganda/05/2021|EPI_ISL_14016108|2021-05-01
A/Uganda/6/2021	A/Uganda/06/2021|EPI_ISL_14016109|2021-05-01
A/SouthAfrica/R14962/2021	A/South_Africa/R14962/2021|EPI_ISL_9533500|2021-10-12
A/SouthAfrica/R12902/2021	A/South_Africa/R12902/2021|EPI_ISL_9402251|2021-08-27
A/Zambia/196/2021	A/Zambia/0196/2021|EPI_ISL_11497675|2021-04-22
A/Zambia/105/2021	A/Zambia/0105/2021|EPI_ISL_11497674|2021-04-05
A/Zambia/133/2021	A/Zambia/0133/2021|EPI_ISL_11496567|2021-07-14
A/Uganda/9/2021	A/Uganda/09/2021|EPI_ISL_14016112|2021-07-01
A/Uganda/8/2021	A/Uganda/08/2021|EPI_ISL_14016111|2021-06-01
A/Uganda/7/2021	A/Uganda/07/2021|EPI_ISL_14016110|2021-05-01
A/Uganda/4/2021	A/Uganda/04/2021|EPI_ISL_14016107|2021-05-01
A/Zambia/257/2021	A/Zambia/0257/2021|EPI_ISL_11497669|2021-06-29
A/Uganda/3/2021	A/Uganda/03/2021|EPI_ISL_14016106|2021-05-01
A/Niger/8811/2021	A/Niger/8811/2021|EPI_ISL_8636640|2021-01-28
A/Nigeria/6075/2021	A/Nigeria/6075/2021|EPI_ISL_7602443|2021-06-17
A/Togo/5321/2021	A/Togo/5321/2021|EPI_ISL_9390621|2021-07-13
A/Togo/1365/2021	A/Togo/1365/2021|EPI_ISL_11496813|2021-10-30
A/Togo/1519/2021	A/Togo/1519/2021|EPI_ISL_11496631|2021-11-14
A/Togo/946/2021	A/Togo/0946/2021|EPI_ISL_9390626|2021-09-17
A/Togo/988/2021	A/Togo/0988/2021|EPI_ISL_9390622|2021-09-24
A/Togo/1087/2021	A/Togo/1087/2021|EPI_ISL_11496703|2021-10-07
A/Togo/1166/2021	A/Togo/1166/2021|EPI_ISL_11496601|2021-10-14
A/Togo/1093/2021	A/Togo/1093/2021|EPI_ISL_11496823|2021-10-08
A/Niger/8782/2021	A/Niger/8782/2021|EPI_ISL_8636638|2021-01-21
A/Niger/8801/2021	A/Niger/8801/2021|EPI_ISL_8808393|2021-01-26
A/Niger/10021/2021	A/Niger/10021/2021|EPI_ISL_10828585|2021-11-04
A/Niger/9703/2021	A/Niger/9703/2021|EPI_ISL_8636644|2021-08-20
A/Niger/8749/2021	A/Niger/8749/2021|EPI_ISL_1367588|2021-01-14
A/Niger/8773/2021	A/Niger/8773/2021|EPI_ISL_1367590|2021-01-19
A/Niger/9036/2021	A/Niger/9036/2021|EPI_ISL_8557750|2021-02-23
A/CoteDIvoire/2058/2021	A/Cote_D'Ivoire/2058/2021|EPI_ISL_3534323|2021-06-15
A/Niger/8856/2021	A/Niger/8856/2021|EPI_ISL_8636654|2021-02-02
A/Niger/8716/2021	A/Niger/8716/2021|EPI_ISL_8636639|2021-01-07
A/Niger/9020/2021	A/Niger/9020/2021|EPI_ISL_8636658|2021-02-23
A/Niger/8892/2021	A/Niger/8892/2021|EPI_ISL_8808392|2021-02-04
A/Niger/8776/2021	A/Niger/8776/2021|EPI_ISL_1647861|2021-01-20
A/Togo/1162/2021	A/Togo/1162/2021|EPI_ISL_11496706|2021-10-13
A/Niger/8854/2021	A/Niger/8854/2021|EPI_ISL_8636643|2021-02-02
A/Niger/9035/2021	A/Niger/9035/2021|EPI_ISL_8557749|2021-02-23
A/Niger/8902/2021	A/Niger/8902/2021|EPI_ISL_8636635|2021-02-11
A/Netherlands/10206/2021	A/Netherlands/10206/2021|EPI_ISL_8452433|2021-12-15
A/Ghana/1352/2021	A/Ghana/1352/2021|EPI_ISL_4005753|2021-07-08
A/Ghana/469/2021	A/Ghana/469/2021|EPI_ISL_12219339|2021-12-22
A/Ghana/1948/2021	A/Ghana/1948/2021|EPI_ISL_4005760|2021-07-26
A/Dakar/61/2021	A/Dakar/61/2021|EPI_ISL_13017087|2021-12-08
A/BurkinaFaso/2722/2021	A/Burkina_Faso/2722/2021|EPI_ISL_12187472|2021-11-25
A/CoteDIvoire/GIHSN-HCL022118627601/2021	A/Cote_D'Ivoire/GIHSN-HCL022118627601/2021|EPI_ISL_16200604|2021-11-29
A/CoteDIvoire/4032/2021	A/Cote_d'Ivoire/4032/2021|EPI_ISL_12219468|2021-11-29
A/Togo/1165/2021	A/Togo/1165/2021|EPI_ISL_11496607|2021-10-14
A/Togo/1080/2021	A/Togo/1080/2021|EPI_ISL_11496825|2021-10-07
A/Togo/1351/2021	A/Togo/1351/2021|EPI_ISL_11496826|2021-10-28
A/Togo/1246/2021	A/Togo/1246/2021|EPI_ISL_11496609|2021-10-20
A/Togo/1009/2021	A/Togo/1009/2021|EPI_ISL_9390613|2021-09-27
A/Iowa/60/2018	A/Iowa/60/2018|EPI_ISL_332171|2018-10-17
A/Newcastle/82/2018	A/Newcastle/82/2018|EPI_ISL_335436|2018-12-23
A/SouthAustralia/34/2019	A/South_Australia/34/2019|EPI_ISL_346283|2019-02-06
A/Hawaii/42/2019	A/Hawaii/42/2019|EPI_ISL_363864|2019-05-28
A/Victoria/223/2019	A/Victoria/223/2019|EPI_ISL_389563|2019-08-12
A/Qatar/16-VI-19-0049409/2019	A/Qatar/16-VI-19-0049409/2019|EPI_ISL_397301|2019-08-27
A/Ethiopia/1016/2021	A/Ethiopia/1016/2021|EPI_ISL_9388937|2021-03-21
A/Ethiopia/1025/2021	A/Ethiopia/1025/2021|EPI_ISL_9388961|2021-03-28
A/Tasmania/503/2020	A/Tasmania/503/2020|EPI_ISL_483574|2020-02-16
A/TimorLeste/33/2021	A/Timor-Leste/33/2021|EPI_ISL_3101063|2021-03-31
A/TimorLeste/9/2021	A/Timor-Leste/9/2021|EPI_ISL_3100992|2021-03-01
A/TimorLeste/34/2021	A/Timor-Leste/34/2021|EPI_ISL_3100996|2021-03-22
A/TimorLeste/12/2021	A/Timor-Leste/12/2021|EPI_ISL_2932602|2021-03-11
A/TimorLeste/21/2021	A/Timor-Leste/21/2021|EPI_ISL_3101001|2021-02-25
A/TimorLeste/43/2021	A/Timor-Leste/43/2021|EPI_ISL_3101003|2021-01-30
A/TimorLeste/19/2021	A/Timor-Leste/19/2021|EPI_ISL_3100993|2021-02-24
A/TimorLeste/20/2021	A/Timor-Leste/20/2021|EPI_ISL_3100991|2021-02-25
A/TimorLeste/27/2021	A/Timor-Leste/27/2021|EPI_ISL_3101004|2021-03-30
A/Darwin/4/2021	A/Darwin/4/2021|EPI_ISL_2932603|2021-03-03
A/Darwin/2/2021	A/Darwin/2/2021|EPI_ISL_2621726|2021-02-27
A/Darwin/1/2021	A/Darwin/1/2021|EPI_ISL_2621725|2021-02-27
A/Darwin/3/2021	A/Darwin/3/2021|EPI_ISL_1292812|2021-03-02
A/TimorLeste/25/2021	A/Timor-Leste/25/2021|EPI_ISL_3101005|2021-03-08
A/TimorLeste/23/2021	A/Timor-Leste/23/2021|EPI_ISL_3101002|2021-03-08
A/TimorLeste/6/2022	A/Timor-Leste/6/2022|EPI_ISL_11499448|2022-01-19
A/TimorLeste/8/2022	A/Timor-Leste/8/2022|EPI_ISL_11499453|2022-01-18
A/TimorLeste/46/2022	A/Timor-Leste/46/2022|EPI_ISL_14161807|2022-02-02
A/TimorLeste/29/2022	A/Timor-Leste/29/2022|EPI_ISL_13175624|2022-01-30
A/TimorLeste/5/2022	A/Timor-Leste/5/2022|EPI_ISL_11499447|2022-01-20
A/TimorLeste/21/2022	A/Timor-Leste/21/2022|EPI_ISL_13175623|2022-02-02
A/TimorLeste/45/2022	A/Timor-Leste/45/2022|EPI_ISL_13175633|2022-02-07
A/TimorLeste/22/2022	A/Timor-Leste/22/2022|EPI_ISL_14161806|2022-02-04
A/Miyagi/1/2021	A/Milano/01/2021|EPI_ISL_9627679|2021-09-26
A/Miyagi/2/2021	A/Mali/28/2019|EPI_ISL_363881|2019-01-31
A/Parma/4/2021	A/Parma/04/2021|EPI_ISL_9627685|2021-11-22
A/California/55/2020	A/California/55/2020|EPI_ISL_1296489|2020-10-12
A/Lao/941/2021	A/Laos/941/2021|EPI_ISL_5327614|2021-03-17
A/Cambodia/e0826360/2020	A/Cambodia/e0826360/2020|EPI_ISL_944639|2020-07-16
A/Thailand/9/2021	A/Thailand/5/2021|EPI_ISL_5984007|2021-06-24
A/Thailand/8/2021	A/Thailand/8/2021|EPI_ISL_4197191|2021-06-18
A/Thailand/7/2021	A/Thailand/7/2021|EPI_ISL_4760584|2021-06-18
A/Thailand/3/2021	A/Thailand/3/2021|EPI_ISL_5984033|2021-06-24
A/Thailand/12/2021	A/Thailand/12/2021|EPI_ISL_5327616|2021-06-24
A/Thailand/5/2021	A/Thailand/5/2021|EPI_ISL_5984007|2021-06-24
A/Thailand/10/2021	A/Thailand/10/2021|EPI_ISL_5327621|2021-06-24
A/Thailand/11/2021	A/Thailand/11/2021|EPI_ISL_5327618|2021-06-24
A/Thailand/6/2021	A/Thailand/6/2021|EPI_ISL_5327629|2021-06-24
A/Thailand/4/2021	A/Thailand/4/2021|EPI_ISL_5327622|2021-06-24
A/Lao/F1288/2021	A/Laos/F1288/2021|EPI_ISL_4221813|2021-04-02
A/Lao/1218/2021	A/Laos/1218/2021|EPI_ISL_5983995|2021-03-29
